Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ben Niemann,KAN,PIT,2018-09-16,2018,2,Out,Hamstring,,
Ben Niemann,KAN,SFO,2018-09-23,2018,3,Doubtful,Hamstring,,
Ben Niemann,KAN,LAC,2021-01-03,2020,17,Out,Hamstring,,
