Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Davion Taylor,PHI,NOR,2020-12-13,2020,14,Injured Reserve,,,
Davion Taylor,PHI,ARI,2020-12-20,2020,15,Injured Reserve,,,
Davion Taylor,PHI,DAL,2020-12-27,2020,16,Injured Reserve,,,
Davion Taylor,PHI,WAS,2021-01-03,2020,17,Injured Reserve,,,
