Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Sharif Finch,TEN,WAS,2018-12-22,2018,16,Out,Shoulder,,
Sharif Finch,TEN,DEN,2019-10-13,2019,6,Out,Shoulder,,
Sharif Finch,TEN,LAC,2019-10-20,2019,7,Out,Shoulder,,
Sharif Finch,TEN,TAM,2019-10-27,2019,8,Out,Shoulder,,
